year,id_,incom16,income,rincome,happy,mntlhlth
2002,9,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,1,5
2002,19,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,2,5
2002,23,AVERAGE,"$25,000 or more",$25000 OR MORE,1,3
2002,33,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,3,15
2002,37,ABOVE AVERAGE,"$20,000 to $24,999",$7000 TO 7999,1,15
2002,38,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,3,3
2002,43,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2002,46,AVERAGE,"$25,000 or more",$25000 OR MORE,3,1
2002,82,AVERAGE,"$25,000 or more",$25000 OR MORE,2,25
2002,96,AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2002,100,AVERAGE,"$25,000 or more",$25000 OR MORE,2,5
2002,114,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,2,NA
2002,133,AVERAGE,"$25,000 or more",$25000 OR MORE,2,3
2002,136,AVERAGE,"$25,000 or more",$7000 TO 7999,2,2
2002,152,AVERAGE,"$25,000 or more",$25000 OR MORE,3,5
2002,154,AVERAGE,"$25,000 or more",$25000 OR MORE,2,5
2002,176,AVERAGE,.r:  Refused,.d:  Do not Know/Cannot Choose,3,1
2002,191,ABOVE AVERAGE,"$10,000 to $14,999",$10000 - 14999,2,2
2002,195,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2002,217,.i:  Inapplicable,.d:  Do not Know/Cannot Choose,.i:  Inapplicable,1,NA
2002,223,FAR BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,1,NA
2002,224,AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2002,228,AVERAGE,"$25,000 or more",$25000 OR MORE,2,15
2002,235,AVERAGE,"$25,000 or more",$25000 OR MORE,2,1
2002,239,AVERAGE,"$25,000 or more",$10000 - 14999,1,25
2002,241,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2002,250,AVERAGE,"$25,000 or more",$25000 OR MORE,2,1
2002,252,AVERAGE,"$25,000 or more",$10000 - 14999,2,2
2002,257,ABOVE AVERAGE,"$10,000 to $14,999",$10000 - 14999,3,5
2002,267,.i:  Inapplicable,"$7,000 to $7,999",.i:  Inapplicable,2,3
2002,284,AVERAGE,"$25,000 or more",$25000 OR MORE,1,15
2002,287,AVERAGE,"$25,000 or more",$25000 OR MORE,3,2
